TotalSeq_Barcode,name_206,name_111
0890,ADT_4-1BBLigand(CD137L)_A0890,NA
0104,ADT_CD102_A0104,CD102_TotalA
0201,ADT_CD103_A0201,CD103_TotalA
0812,ADT_CD105_A0812,NA
0226,ADT_CD106_A0226,CD106_TotalA
0905,ADT_CD107a(LAMP-1)_A0905,NA
0105,ADT_CD115(CSF-1R)_A0105,CD115_(CSF-1R)_TotalA
0012,ADT_CD117(c-Kit)_A0012,CD117_(c-kit)_TotalA
0595,ADT_CD11a_A0595,CD11a_TotalA
0014,ADT_CD11b_A0014,NA
0106,ADT_CD11c_A0106,CD11c_TotalA
0893,ADT_CD120b(TNFRTypeII-p75)_A0893,NA
0227,ADT_CD122(IL-2Rb)_A0227,CD122_(IL-2Rb)_TotalA
0916,ADT_CD124(IL-4Ra)_A0916,NA
0198,ADT_CD127(IL-7Ra)_A0198,CD127_(IL-7Ra)_TotalA
0195,ADT_CD134(OX-40)_A0195,CD134_(OX-40)_TotalA
0098,ADT_CD135_A0098,CD135_TotalA
0194,ADT_CD137_A0194,CD137_TotalA
0810,ADT_CD138(Syndecan-1)_A0810,NA
0424,ADT_CD14_A0424,CD14_TotalA
0573,ADT_CD140a_A0573,CD140a_TotalA
0076,ADT_CD15(SSEA-1)_A0076,CD15_(SSEA-1)_TotalA
0203,ADT_CD150(SLAM)_A0203,CD150_(SLAM)_TotalA
0388,ADT_CD152_A0388,NA
1011,ADT_CD155(PVR)_A1011,NA
0927,ADT_CD159a(NKG2AB6)_A0927,NA
0109,ADT_CD16-32_A0109,CD16_32_TotalA
1006,ADT_CD160_A1006,NA
0417,ADT_CD163_A0417,NA
0440,ADT_CD169(Siglec-1)_A0440,CD169_Siglec-1_TotalA
0431,ADT_CD170(Singlec-F)_A0431,NA
0422,ADT_CD172a(SIRPa)_A0422,CD172a_(SIRPa)_TotalA
1012,ADT_CD178(FasL)_A1012,NA
0909,ADT_CD182(CXCR2)_A0909,NA
0228,ADT_CD183(CXCR3)_A0228,CD183_(CXCR3)_TotalA
0444,ADT_CD184(CXCR4)_A0444,CXCR4_TotalA
0846,ADT_CD185(CXCR5)_A0846,NA
0926,ADT_CD186(CXCR6)_A0926,NA
0093,ADT_CD19_A0093,CD19_TotalA
0426,ADT_CD192(CCR2)_A0426,CD192_(CCR2)_TotalA
0808,ADT_CD193(CCR3)_A0808,NA
0833,ADT_CD194(CCR4)_A0833,NA
0376,ADT_CD195(CCR5)_A0376,CD195_(CCR5)_TotalA
0225,ADT_CD196(CCR6)_A0225,CD196_(CCR6)_TotalA
0377,ADT_CD197(CCR7)_A0377,CD197_(CCR7)_TotalA
0907,ADT_CD198(CCR8)_A0907,NA
0854,ADT_CD199(CCR9)_A0854,NA
0851,ADT_CD1d(CD1.1_Ly-38)_A0851,NA
0892,ADT_CD2_A0892,NA
0192,ADT_CD20_A0192,CD20_TotalA
0079,ADT_CD200(OX2)_A0079,CD200_(OX2)_TotalA
0807,ADT_CD200R(OX2R)_A0807,NA
0809,ADT_CD200R3_A0809,NA
0439,ADT_CD201(EPCR)_A0439,CD201_(EPCR)_TotalA
0448,ADT_CD204(Msr1)_A0448,CD204_(Scavenger_R1)_TotalA
0173,ADT_CD206(MMR)_A0173,CD206_(MMR)_TotalA
0437,ADT_CD207(Langerin)_A0437,NA
0107,ADT_CD21-CD35(CR2-CR1)_A0107,CD21_CD35_(CR2_CR1)_TotalA
0827,ADT_CD22_A0827,NA
0378,ADT_CD223(LAG-3)_A0378,CD223_(LAG-3)_TotalA
0852,ADT_CD226(DNAM-1)_A0852,NA
0108,ADT_CD23_A0108,CD23_TotalA
0212,ADT_CD24_A0212,CD24_TotalA
0097,ADT_CD25_A0097,CD25_TotalA
0924,ADT_CD252(OX40Ligand)_A0924,NA
0925,ADT_CD253(TRAIL)_A0925,NA
0883,ADT_CD26(DPP-4)_A0883,NA
0191,ADT_CD27_A0191,NA
0885,ADT_CD270(HVEM)_A0885,NA
0881,ADT_CD272(BTLA)_A0881,NA
0914,ADT_CD273(B7-DC_PD-L2)_A0914,NA
0190,ADT_CD274(B7-H1_PD-L1)_A0190,CD274_(B7-H1_PD-L1)_TotalA
0171,ADT_CD278(ICOS)_A0171,CD278_(ICOS)_TotalA
0847,ADT_CD278(ICOS)_A0847,NA
0004,ADT_CD279(PD-1)_A0004,CD279_(PD-1)_TotalA
0204,ADT_CD28_A0204,CD28_TotalA
0570,ADT_CD29_A0570,CD29_TotalA
0182,ADT_CD3_A0182,NA
0416,ADT_CD300LG(Nepmucin)_A0416,CD300LG_(Nepmucin)_TotalA
0876,ADT_CD300c-d_A0876,NA
0551,ADT_CD301a(MGL1)_A0551,CD301a_TotalA
0566,ADT_CD301b(MGL2)_A0566,CD301b_TotalA
0552,ADT_CD304(Neuropilin-1)_A0552,CD304_(Neuropilin-1)_TotalA
0554,ADT_CD309(VEGFR2_Flk-1)_A0554,NA
0553,ADT_CD309(VEGFR2_Flk-1)_A0553,NA
0904,ADT_CD31_A0904,NA
0835,ADT_CD314(NKG2D)_A0835,NA
0811,ADT_CD317(BST2_PDCA-1)_A0811,NA
0449,ADT_CD326(Ep-CAM)_A0449,CD326_(Ep-CAM)_TotalA
0184,ADT_CD335(NKp46)_A0184,CD335_(NKp46)_TotalA
0887,ADT_CD339(Jagged1)_A0887,NA
0857,ADT_CD34_A0857,NA
0823,ADT_CD34_A0823,NA
0193,ADT_CD357(GITR)_A0193,CD357_(GITR)_TotalA
0555,ADT_CD36_A0555,CD36_TotalA
1013,ADT_CD365(Tim-1)_A1013,NA
0003,ADT_CD366(Tim-3)_A0003,CD366_(Tim-3)_TotalA
0556,ADT_CD370(CLEC9A_DNGR1)_A0556,CD370_(CLEC9A_DNGR1)_TotalA
0825,ADT_CD371(CLEC12A)_A0825,NA
0557,ADT_CD38_A0557,CD38_TotalA
0834,ADT_CD39_A0834,NA
0094,ADT_CD3e_A0094,NA
0001,ADT_CD4_A0001,CD4_TotalA
0903,ADT_CD40_A0903,NA
0443,ADT_CD41_A0443,CD41_TotalA
0110,ADT_CD43_A0110,CD43_TotalA
0073,ADT_CD44_A0073,NA
0096,ADT_CD45_A0096,CD45_TotalA
0178,ADT_CD45.1_A0178,CD45.1_TotalA
0157,ADT_CD45.2_A0157,CD45.2_TotalA
0103,ADT_CD45R-B220_A0103,CD45R_B220_TotalA
0429,ADT_CD48_A0429,CD48_TotalA
0850,ADT_CD49a_A0850,NA
0421,ADT_CD49b_A0421,NA
0078,ADT_CD49d_A0078,CD49d_TotalA
0070,ADT_CD49f_A0070,CD49f_TotalA
0111,ADT_CD5_A0111,CD5_TotalA
1008,ADT_CD51_A1008,NA
0074,ADT_CD54_A0074,CD54_TotalA
0558,ADT_CD55(DAF)_A0558,CD55_(DAF)_TotalA
0910,ADT_CD61_A0910,NA
0112,ADT_CD62L_A0112,CD62L_TotalA
0229,ADT_CD62P(P-selectin)_A0229,CD62P_(P-selectin)_TotalA
0559,ADT_CD63_A0559,CD63_TotalA
0202,ADT_CD64(FcrRI)_A0202,CD64_(FcgRI)_TotalA
0560,ADT_CD68_A0560,CD68_TotalA
0197,ADT_CD69_A0197,CD69_TotalA
0441,ADT_CD71_A0441,CD71_TotalA
0077,ADT_CD73_A0077,CD73_TotalA
0561,ADT_CD79b(Igb)_A0561,CD79b_(Igb)_TotalA
0849,ADT_CD80_A0849,NA
0562,ADT_CD83_A0562,CD83_TotalA
1007,ADT_CD85k(gp49Receptor)_A1007,NA
0200,ADT_CD86_A0200,CD86_TotalA
0002,ADT_CD8a_A0002,CD8a_TotalA
0230,ADT_CD8b(Ly-3)_A0230,CD8b_(Ly-3)_TotalA
0813,ADT_CD9_A0813,NA
0380,ADT_CD90.1(Thy-1.1)_A0380,rat_CD90_mouse_CD90.1_TotalA
0075,ADT_CD90.2_A0075,CD90.2_TotalA
0113,ADT_CD93(AA4.1_earlyBlineage)_A0113,CD93_(AA4.1_early_B_lineage)_TotalA
1009,ADT_CD94_A1009,NA
0917,ADT_CD95(Fas)_A0917,NA
0563,ADT_CX3CR1_A0563,CX3CR1_TotalA
0379,ADT_D62E(E-selectin)_A0379,NA
0884,ADT_DLL1_A0884,NA
0836,ADT_DR3(TNFRSF25)_A0836,NA
0891,ADT_ENPP1_A0891,NA
0596,ADT_ESAM_A0596,ESAM_TotalA
0114,ADT_F4-80_A0114,F4_80_TotalA
0115,ADT_FceRIa_A0115,FceRIa_TotalA
0564,ADT_FolateReceptorb(FR-b)_A0564,Folate_Receptor_b_(FR-b)_TotalA
0435,ADT_GABRB3_A0435,NA
0880,ADT_GITRLigand_A0880,NA
0231,ADT_H-2KbboundtoSIINFEKL_A0231,H-2Kb_bound_to_SIINFEKL_TotalA
0117,ADT_I-A-I-E_A0117,I-A_I-E_TotalA
0879,ADT_IL-21Receptor_A0879,NA
0837,ADT_IL-33Ra(IL1RL1_ST2)_A0837,NA
0249,ADT_IRF4_A0249,IRF4_TotalA
0571,ADT_IgD_A0571,IgD_TotalA
0450,ADT_IgM_A0450,IgM_TotalA
0877,ADT_JAML_A0877,NA
0438,ADT_KCC2_A0438,NA
0250,ADT_KLRG1(MAFA)_A0250,NA
0842,ADT_Ly-49A_A0842,NA
0130,ADT_Ly-6A-E(Sca-1)_A0130,Ly-6A_E_(Sca-1)_TotalA
0013,ADT_Ly-6C_A0013,Ly-6C_TotalA
0015,ADT_Ly-6G_A0015,NA
0116,ADT_Ly-6G-Ly-6C(Gr-1)_A0116,NA
0930,ADT_Ly108_A0930,NA
0841,ADT_Ly49D_A0841,NA
0840,ADT_Ly49G_A0840,NA
0839,ADT_Ly49H_A0839,NA
0232,ADT_MAdCAM-1_A0232,MAdCAM-1_TotalA
0565,ADT_MERTK(Mer)_A0565,MERTK_(Mer)_TotalA
0895,ADT_Mac-2(Galectin-3)_A0895,NA
0118,ADT_NK-1.1_A0118,NK-1.1_TotalA
0442,ADT_Notch1_A0442,Notch_1_TotalA
