"","x"
"1","A1BG"
"2","A1BG-AS1"
"3","A2M"
"4","A2M-AS1"
"5","AAAS"
"6","AACS"
"7","AAED1"
"8","AAGAB"
"9","AAK1"
"10","AAMDC"
"11","AAMP"
"12","AAR2"
"13","AARS"
"14","AARS2"
"15","AARSD1"
"16","AASDH"
"17","AASDHPPT"
"18","AASS"
"19","AATF"
"20","AATK"
"21","ABAT"
"22","ABCA1"
"23","ABCA2"
"24","ABCA3"
"25","ABCA5"
"26","ABCA6"
"27","ABCA7"
"28","ABCB1"
"29","ABCB10"
"30","ABCB4"
"31","ABCB7"
"32","ABCB8"
"33","ABCB9"
"34","ABCC1"
"35","ABCC10"
"36","ABCC3"
"37","ABCC4"
"38","ABCC5"
"39","ABCD1"
"40","ABCD2"
"41","ABCD3"
"42","ABCD4"
"43","ABCE1"
"44","ABCF1"
"45","ABCF2"
"46","ABCF3"
"47","ABCG1"
"48","ABHD1"
"49","ABHD10"
"50","ABHD11"
"51","ABHD12"
"52","ABHD13"
"53","ABHD14A"
"54","ABHD14B"
"55","ABHD15"
"56","ABHD17A"
"57","ABHD17B"
"58","ABHD17C"
"59","ABHD2"
"60","ABHD3"
"61","ABHD4"
"62","ABHD5"
"63","ABHD6"
"64","ABHD8"
"65","ABI1"
"66","ABI2"
"67","ABI3"
"68","ABL1"
"69","ABL2"
"70","ABLIM1"
"71","ABLIM2"
"72","ABR"
"73","ABRACL"
"74","ABT1"
"75","ABTB1"
"76","AC000068.5"
"77","AC002116.7"
"78","AC002117.1"
"79","AC002310.12"
"80","AC002467.7"
"81","AC003075.4"
"82","AC004067.5"
"83","AC004069.2"
"84","AC004381.6"
"85","AC004510.3"
"86","AC004854.4"
"87","AC004893.11"
"88","AC004951.6"
"89","AC005076.5"
"90","AC005253.2"
"91","AC005498.3"
"92","AC005523.2"
"93","AC005944.2"
"94","AC006129.2"
"95","AC006369.2"
"96","AC006942.4"
"97","AC007038.7"
"98","AC007228.11"
"99","AC007228.9"
"100","AC007246.3"
"101","AC007349.5"
"102","AC007383.3"
"103","AC007383.4"
"104","AC007620.3"
"105","AC009005.2"
"106","AC009120.10"
"107","AC009133.12"
"108","AC009299.3"
"109","AC009403.2"
"110","AC009404.2"
"111","AC009495.2"
"112","AC009501.4"
"113","AC009506.1"
"114","AC009948.5"
"115","AC009950.2"
"116","AC009961.3"
"117","AC010226.4"
"118","AC010761.8"
"119","AC010883.5"
"120","AC010894.3"
"121","AC011899.9"
"122","AC012358.8"
"123","AC012360.4"
"124","AC013264.2"
"125","AC015987.1"
"126","AC016700.5"
"127","AC016831.7"
"128","AC018816.3"
"129","AC020571.3"
"130","AC021188.4"
"131","AC023590.1"
"132","AC024704.2"
"133","AC025171.1"
"134","AC025335.1"
"135","AC061992.2"
"136","AC062017.1"
"137","AC062029.1"
"138","AC068282.3"
"139","AC074117.10"
"140","AC074183.4"
"141","AC074289.1"
"142","AC078883.3"
"143","AC079305.10"
"144","AC079767.4"
"145","AC079807.2"
"146","AC079922.3"
"147","AC091729.9"
"148","AC092580.4"
"149","AC093323.3"
"150","AC093388.3"
"151","AC093495.4"
"152","AC093609.1"
"153","AC093627.10"
"154","AC093627.9"
"155","AC093642.3"
"156","AC093673.5"
"157","AC093818.1"
"158","AC096772.6"
"159","AC097724.3"
"160","AC099850.1"
"161","AC100830.5"
"162","AC104532.4"
"163","AC104820.2"
"164","AC107081.5"
"165","AC108488.4"
"166","AC109333.10"
"167","AC109826.1"
"168","AC113189.5"
"169","AC116366.6"
"170","AC133528.2"
"171","AC142528.1"
"172","AC144652.1"
"173","AC144831.1"
"174","AC147651.4"
"175","AC159540.1"
"176","ACAA1"
"177","ACAA2"
"178","ACACA"
"179","ACACB"
"180","ACAD10"
"181","ACAD11"
"182","ACAD8"
"183","ACAD9"
"184","ACADM"
"185","ACADS"
"186","ACADSB"
"187","ACADVL"
"188","ACAP1"
"189","ACAP2"
"190","ACAP3"
"191","ACAT1"
"192","ACAT2"
"193","ACBD3"
"194","ACBD4"
"195","ACBD5"
"196","ACBD6"
"197","ACCS"
"198","ACD"
"199","ACER3"
"200","ACIN1"
"201","ACLY"
"202","ACO1"
"203","ACO2"
"204","ACOT13"
"205","ACOT4"
"206","ACOT7"
"207","ACOT8"
"208","ACOT9"
"209","ACOX1"
"210","ACOX3"
"211","ACP1"
"212","ACP2"
"213","ACP5"
"214","ACP6"
"215","ACPP"
"216","ACRBP"
"217","ACRC"
"218","ACSF2"
"219","ACSF3"
"220","ACSL1"
"221","ACSL3"
"222","ACSL4"
"223","ACSL5"
"224","ACSL6"
"225","ACSM3"
"226","ACSS1"
"227","ACSS2"
"228","ACTA2"
"229","ACTB"
"230","ACTG1"
"231","ACTL10"
"232","ACTL6A"
"233","ACTN1"
"234","ACTN4"
"235","ACTR10"
"236","ACTR1A"
"237","ACTR1B"
"238","ACTR2"
"239","ACTR3"
"240","ACTR3B"
"241","ACTR3C"
"242","ACTR5"
"243","ACTR6"
"244","ACTR8"
"245","ACVR1"
"246","ACVR1B"
"247","ACVR1C"
"248","ACVR2A"
"249","ACVR2B"
"250","ACY3"
"251","ACYP1"
"252","ACYP2"
"253","ADA"
"254","ADAL"
"255","ADAM10"
"256","ADAM12"
"257","ADAM15"
"258","ADAM17"
"259","ADAM19"
"260","ADAM22"
"261","ADAM23"
"262","ADAM28"
"263","ADAM8"
"264","ADAM9"
"265","ADAMTS10"
"266","ADAMTS6"
"267","ADAMTSL4"
"268","ADAP1"
"269","ADAP2"
