,leiden_subclusters,labels
0,"12,0",NKT cells
1,6,CD122+ CD8 T cells
2,3,Transitional B cells
3,4,Mature B cells
4,0,CD4 T cells
5,9,Mature B cells
6,8,Ifit3-high B cells
7,2,CD8 T cells
8,6,CD122+ CD8 T cells
9,0,CD4 T cells
10,2,CD8 T cells
11,13,B1 B cells
12,27,Activated CD4 T cells
13,8,Ifit3-high B cells
14,8,Ifit3-high B cells
15,11,MZ B cells
16,0,CD4 T cells
17,1,Mature B cells
18,"10,1",ICOS-high Tregs
19,19,Cycling B/T cells
20,1,Mature B cells
21,7,Mature B cells
22,1,Mature B cells
23,3,Transitional B cells
24,6,CD122+ CD8 T cells
25,4,Mature B cells
26,3,Transitional B cells
27,2,CD8 T cells
28,13,B1 B cells
29,2,CD8 T cells
30,"16,0",B-macrophage doublets
31,9,Mature B cells
32,3,Transitional B cells
33,6,CD122+ CD8 T cells
34,3,Transitional B cells
35,21,B doublets
36,0,CD4 T cells
37,5,Mature B cells
38,1,Mature B cells
39,0,CD4 T cells
40,19,Cycling B/T cells
41,8,Ifit3-high B cells
42,2,CD8 T cells
43,5,Mature B cells
44,2,CD8 T cells
45,5,Mature B cells
46,4,Mature B cells
47,2,CD8 T cells
48,2,CD8 T cells
49,7,Mature B cells
50,9,Mature B cells
51,11,MZ B cells
52,11,MZ B cells
53,7,Mature B cells
54,1,Mature B cells
55,9,Mature B cells
56,0,CD4 T cells
57,0,CD4 T cells
58,2,CD8 T cells
59,0,CD4 T cells
60,19,Cycling B/T cells
61,2,CD8 T cells
62,21,B doublets
63,18,Ifit3-high CD8 T cells
64,7,Mature B cells
65,0,CD4 T cells
66,"12,0",NKT cells
67,1,Mature B cells
68,"12,1",NK cells
69,2,CD8 T cells
70,11,MZ B cells
71,5,Mature B cells
72,3,Transitional B cells
73,4,Mature B cells
74,0,CD4 T cells
75,9,Mature B cells
76,8,Ifit3-high B cells
77,6,CD122+ CD8 T cells
78,1,Mature B cells
79,13,B1 B cells
80,7,Mature B cells
81,0,CD4 T cells
82,0,CD4 T cells
83,5,Mature B cells
84,1,Mature B cells
85,0,CD4 T cells
86,3,Transitional B cells
87,8,Ifit3-high B cells
88,7,Mature B cells
89,9,Mature B cells
90,"16,0",B-macrophage doublets
91,0,CD4 T cells
92,8,Ifit3-high B cells
93,11,MZ B cells
94,7,Mature B cells
95,3,Transitional B cells
96,0,CD4 T cells
97,4,Mature B cells
98,1,Mature B cells
99,7,Mature B cells
100,5,Mature B cells
101,0,CD4 T cells
102,"10,1",ICOS-high Tregs
103,"15,1",cDC1s
104,5,Mature B cells
105,11,MZ B cells
106,2,CD8 T cells
107,1,Mature B cells
108,4,Mature B cells
109,18,Ifit3-high CD8 T cells
110,4,Mature B cells
111,8,Ifit3-high B cells
112,9,Mature B cells
113,4,Mature B cells
114,2,CD8 T cells
115,4,Mature B cells
116,0,CD4 T cells
117,28,pDCs
118,0,CD4 T cells
119,3,Transitional B cells
120,5,Mature B cells
121,2,CD8 T cells
122,7,Mature B cells
123,8,Ifit3-high B cells
124,8,Ifit3-high B cells
125,0,CD4 T cells
126,4,Mature B cells
127,"20,0",Ly6-high monocytes
128,4,Mature B cells
129,8,Ifit3-high B cells
130,5,Mature B cells
131,6,CD122+ CD8 T cells
132,22,GD T cells
133,0,CD4 T cells
134,3,Transitional B cells
135,1,Mature B cells
136,9,Mature B cells
137,"10,0",Tregs
138,3,Transitional B cells
139,8,Ifit3-high B cells
140,1,Mature B cells
141,25,B-CD4 T cell doublets
142,0,CD4 T cells
143,0,CD4 T cells
144,13,B1 B cells
145,22,GD T cells
146,4,Mature B cells
147,1,Mature B cells
148,2,CD8 T cells
149,13,B1 B cells
150,6,CD122+ CD8 T cells
151,1,Mature B cells
152,6,CD122+ CD8 T cells
153,"15,0",cDC2s
154,"10,1",ICOS-high Tregs
155,8,Ifit3-high B cells
156,3,Transitional B cells
157,0,CD4 T cells
158,9,Mature B cells
159,0,CD4 T cells
160,11,MZ B cells
161,2,CD8 T cells
162,0,CD4 T cells
163,"16,1",MZ/Marco-high macrophages
164,2,CD8 T cells
165,7,Mature B cells
166,11,MZ B cells
167,"10,1",ICOS-high Tregs
168,0,CD4 T cells
169,0,CD4 T cells
170,2,CD8 T cells
171,3,Transitional B cells
172,"10,2",Tregs
173,0,CD4 T cells
174,0,CD4 T cells
175,9,Mature B cells
176,8,Ifit3-high B cells
177,0,CD4 T cells
178,4,Mature B cells
179,0,CD4 T cells
180,"15,0",cDC2s
181,0,CD4 T cells
182,3,Transitional B cells
183,4,Mature B cells
184,6,CD122+ CD8 T cells
185,21,B doublets
186,"20,1",Ly6-low monocytes
187,3,Transitional B cells
188,5,Mature B cells
189,3,Transitional B cells
190,3,Transitional B cells
191,0,CD4 T cells
192,8,Ifit3-high B cells
193,21,B doublets
194,0,CD4 T cells
195,4,Mature B cells
196,8,Ifit3-high B cells
197,0,CD4 T cells
198,14,Ifit3-high CD4 T cells
199,0,CD4 T cells
200,"15,1",cDC1s
201,5,Mature B cells
202,11,MZ B cells
203,"10,0",Tregs
204,2,CD8 T cells
205,"15,2",Migratory DCs
206,5,Mature B cells
207,27,Activated CD4 T cells
208,4,Mature B cells
209,3,Transitional B cells
210,"20,0",Ly6-high monocytes
211,5,Mature B cells
212,1,Mature B cells
213,5,Mature B cells
214,9,Mature B cells
215,0,CD4 T cells
216,"12,0",NKT cells
217,2,CD8 T cells
218,7,Mature B cells
219,0,CD4 T cells
220,18,Ifit3-high CD8 T cells
221,3,Transitional B cells
222,6,CD122+ CD8 T cells
223,7,Mature B cells
224,0,CD4 T cells
225,"15,1",cDC1s
226,3,Transitional B cells
227,2,CD8 T cells
228,3,Transitional B cells
229,7,Mature B cells
230,3,Transitional B cells
231,7,Mature B cells
232,7,Mature B cells
233,0,CD4 T cells
234,"15,0",cDC2s
235,2,CD8 T cells
236,9,Mature B cells
237,5,Mature B cells
238,4,Mature B cells
239,9,Mature B cells
240,1,Mature B cells
241,7,Mature B cells
242,0,CD4 T cells
243,7,Mature B cells
244,"12,0",NKT cells
245,"16,2",Red-pulp macrophages
246,11,MZ B cells
247,2,CD8 T cells
248,8,Ifit3-high B cells
